ID_KEL;Nama_provinsi;nama_kota;nama_kecamatan;nama_kelurahan;SUSPEK;Perawatan RS;Isolasi di Rumah;Suspek Meninggal;Selesai Isolasi;PROBABLE;Perawatan RS;Isolasi di Rumah;Probable Meninggal;Selesai Isolasi;PELAKU PERJALANAN;Perawatan RS;Isolasi di Rumah;Selesai Isolasi;KONTAK ERAT;Perawatan RS;Isolasi di Rumah;Selesai Isolasi;DISCARDED;Isolasi di Rumah;Meninggal;Selesai Isolasi;POSITIF;Dirawat;Sembuh;Meninggal;Self Isolation;Keterangan
3171061003;DKI JAKARTA;JAKARTA PUSAT;MENTENG;CIKINI;773;0;28;0;745;5;0;0;0;5;72;0;4;68;1295;0;46;1249;13;0;0;13;349;1;330;8;10;
3174081006;DKI JAKARTA;JAKARTA SELATAN;PANCORAN;CIKOKO;843;0;22;0;821;5;0;0;0;5;14;0;0;14;1178;0;27;1151;4;0;0;4;541;6;518;7;10;
3174061001;DKI JAKARTA;JAKARTA SELATAN;CILANDAK;CILANDAK BARAT;7399;0;293;5;7101;15;0;0;1;14;251;0;26;225;8930;0;325;8605;50;0;0;50;2802;37;2673;40;52;
3174041003;DKI JAKARTA;JAKARTA SELATAN;PASAR MINGGU;CILANDAK TIMUR;2792;1;111;1;2679;16;0;0;0;16;49;0;4;45;3111;0;95;3016;114;0;0;114;1389;23;1330;18;18;
3175101002;DKI JAKARTA;JAKARTA TIMUR;CIPAYUNG;CILANGKAP;2170;0;92;1;2077;46;8;0;0;38;29;0;0;29;3969;0;127;3842;25;0;0;25;1524;21;1462;11;30;
3175041006;DKI JAKARTA;JAKARTA TIMUR;KRAMAT JATI;CILILITAN;2222;0;137;1;2084;20;1;0;0;19;61;0;16;45;5164;0;140;5024;60;0;0;60;1732;30;1613;31;58;
3172041001;DKI JAKARTA;JAKARTA UTARA;CILINCING;CILINCING;3044;1;63;1;2979;23;1;0;0;22;33;0;4;29;3061;0;86;2975;139;0;0;139;1354;14;1293;33;14;
3175101001;DKI JAKARTA;JAKARTA TIMUR;CIPAYUNG;CIPAYUNG;3580;0;120;2;3458;36;3;0;1;32;43;0;4;39;3997;0;117;3880;56;0;0;56;1783;10;1723;25;25;
3174091006;DKI JAKARTA;JAKARTA SELATAN;JAGAKARSA;CIPEDAK;4224;1;102;0;4121;12;1;0;0;11;23;0;4;19;3310;0;93;3217;19;0;0;19;1669;20;1591;17;41;
3174061005;DKI JAKARTA;JAKARTA SELATAN;CILANDAK;CIPETE SELATAN;4214;0;199;1;4014;5;0;0;0;5;195;0;86;109;6448;0;262;6186;11;0;0;11;1329;16;1273;24;16;
